CM_D1_cov2_1	CM_D1_cov2_2	CM_D1_cov2_3	CM_D1_Mock_1	CM_D1_Mock_2	CM_D1_Mock_3	CM_D2_cov2_1	CM_D2_cov2_2	CM_D2_cov2_3	CM_D2_Mock_1	CM_D2_Mock_2	CM_D2_Mock_3
AC004470.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004471.1	2	0	1	0	1	1	0	0	1	1	0	1
AC004471.2	0	0	0	0	1	0	0	0	0	0	0	0
AC004477.1	8	2	7	25	40	39	6	5	2	15	13	17
AC004477.2	0	0	0	0	0	0	0	0	0	0	0	0
AC004477.3	0	0	0	3	3	4	1	0	0	3	2	0
AC004486.1	0	0	0	0	0	0	2	0	0	0	1	0
AC004490.1	0	0	1	0	1	0	0	1	8	0	0	4
AC004491.1	1	1	0	0	0	0	0	0	0	0	0	0
AC004492.1	2	2	2	3	5	0	0	2	1	4	1	3
AC004494.1	0	5	1	5	5	5	0	0	0	6	10	6
AC004494.2	0	0	0	0	0	0	0	0	0	0	0	0
AC004520.1	7	10	6	28	37	34	50	74	63	30	12	27
AC004522.2	0	0	0	0	0	0	0	0	0	0	0	0
AC004528.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004528.2	0	0	0	0	0	0	0	0	0	0	0	0
AC004534.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004540.1	3	3	8	16	15	12	3	2	0	4	3	9
AC004540.2	0	1	0	1	8	6	0	0	1	0	0	0
AC004542.2	0	0	1	0	1	0	0	0	0	0	0	0
AC004551.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004552.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004554.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004554.2	0	0	0	0	1	2	0	0	0	0	1	0
AC004556.1	9	8	16	68	73	70	9	10	6	31	38	48
AC004584.2	0	0	0	0	1	0	2	0	1	0	0	0
AC004584.3	6	5	2	1	8	2	0	0	0	2	3	3
AC004585.1	0	0	0	0	2	0	1	0	0	0	0	0
AC004590.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004593.1	0	0	0	0	0	4	0	0	0	0	0	0
AC004596.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004623.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004637.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004656.1	107	187	135	584	791	555	104	122	86	476	497	597
AC004672.1	0	0	0	0	0	0	0	0	0	0	0	3
AC004672.2	0	0	0	0	0	0	0	0	2	0	0	0
AC004674.1	0	0	0	0	0	0	0	0	2	0	0	0
AC004678.1	1	2	0	0	2	1	0	0	0	1	4	2
AC004678.2	1	0	2	0	2	0	0	0	0	1	2	4
AC004686.1	0	0	0	0	1	3	0	0	0	0	1	2
AC004687.1	0	0	0	0	0	0	0	0	0	0	0	1
AC004690.1	0	0	0	0	0	0	1	0	0	0	0	0
AC004690.2	0	0	0	0	0	0	1	0	0	0	0	0
AC004692.1	0	0	0	0	0	0	0	0	0	1	0	0
AC004692.2	0	0	0	0	0	0	0	0	0	0	0	0
AC004696.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004696.2	0	0	0	0	0	0	0	0	0	0	0	0
AC004704.1	0	0	0	3	2	8	0	0	0	0	0	1
AC004706.1	1	2	1	6	17	3	0	0	0	6	3	2
AC004706.3	5	2	0	3	9	7	0	1	0	0	5	3
AC004706.4	9	16	12	51	60	47	11	13	11	17	30	22
AC004707.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004754.1	4	1	2	8	12	9	1	0	0	6	8	0
AC004771.1	0	0	0	0	0	0	0	0	0	2	1	0
AC004771.2	1	2	2	6	4	6	0	0	0	1	6	8
AC004771.3	3	2	4	12	9	8	2	1	0	5	5	8
AC004771.4	0	0	0	7	0	12	0	0	1	3	0	1
AC004771.5	0	0	0	0	2	0	0	1	1	1	1	1
AC004775.1	1	0	0	1	0	0	0	0	0	0	0	0
AC004777.1	0	1	1	0	0	0	1	0	0	0	0	0
AC004784.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004801.1	0	0	4	1	1	0	1	0	1	0	1	0
AC004801.2	5	5	5	17	15	13	1	0	1	4	6	7
AC004801.3	0	0	1	0	0	0	0	2	0	0	0	0
AC004801.5	0	0	0	0	0	0	0	1	0	0	2	1
AC004801.6	1	1	3	0	3	0	3	11	4	1	1	2
AC004803.1	14	29	40	186	154	118	8	6	6	69	75	101
AC004805.1	0	0	0	0	0	3	0	0	0	0	0	0
AC004805.2	0	0	0	0	0	0	0	0	0	0	0	0
AC004812.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004812.2	17	13	18	105	113	99	4	2	2	27	23	27
AC004815.1	0	0	0	0	0	3	0	2	0	1	0	0
AC004816.1	19	17	23	104	95	96	12	19	20	46	44	44
AC004816.2	1	0	0	1	1	1	0	0	0	0	0	0
AC004817.2	0	0	0	0	0	0	0	1	0	0	0	0
AC004817.3	0	0	0	0	2	0	0	0	0	0	0	0
AC004817.4	0	1	0	0	0	0	0	0	0	0	0	0
AC004824.1	0	0	0	0	0	0	0	0	0	0	1	0
AC004825.2	8	8	7	59	39	32	3	4	5	14	10	25
AC004828.1	0	1	2	0	0	0	0	0	0	2	0	0
AC004830.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004832.4	0	0	0	4	0	4	0	0	0	0	2	1
AC004832.5	0	0	0	0	0	0	1	0	0	0	0	0
AC004832.6	0	0	0	0	1	0	0	0	0	0	0	0
AC004834.1	2	4	1	10	13	13	0	1	1	4	3	5
AC004835.1	0	0	0	0	0	1	2	1	0	0	1	0
AC004836.1	0	0	0	5	0	0	0	0	0	1	3	5
